time,event,target,perpetrator,itype raw,institution,discipline,oldq,response,punishment,career,mental,life,comments,perpgender,oldlabel,someresponse,gendersquash,oldcleandiscipline,coarsediscipline,cleantarget,coarsetarget,itype,oldinstitution,label,cleaninstitution,cleandiscipline
1/2/2018 8:25:11,"As a graduate student getting my education paid for with a graduate assistantship in an athletic department. So, I'm not sure this is exactly what you are looking for. I was propositioned by 2 of the men's basketball coaches, one of which was the head coach. The incident with the head coach was at a athletic department function that was held at a bar. Near the end of the evening, he came up close behind me while I waited to order a drink and whispered into my ear, ""What's your favorite position?"". I tried to laugh it off and give an half answer as to not offend him, but then he offered me  ride home. I ignored that question and waited for him to be distracted - and when he finally was, I left the event without saying goodbye to anyone. The second occurrence in the same athletic department was after I lost my brother tragically. I was invited to lunch by another coach that had also had a family tragedy in his past. At some point over lunch, I was informed that if I ever needed to be with someone, sexually, he was available. He went on to normalize this discussion by saying everyone should have sex at least once a week and that it didn't need to be more than that. I was numb from the pain of losing my brother, so this wasn't as shocking as maybe it should have been. I didn't take him up on his offer, either. I told my boyfriend about both of these incidents, but he was a graduate student as well and we both knew that making the basketball coaches upset could put us at risk. They were both really nice people and that is hard to reconcile. I had to continue to work with both of them, in limited ways, and socialize with them at department functions, and neither ever brought up me declining their offers. I do have to say though, these instances were taking into consideration when I decided to change careers and no longer pursue my dream of being a collegiate coach. I didn't feel threatened but I didn't want to be in an environment where this type of behavior was accepted and, in a way, expected. This occurred at the highest level and I still feel guilt about what I didn't say to ensure others felt comfortable at work. This wasn't a big deal to me, I have years of experience of finding a way to turn down men without making them feel bad for approaching me. But, for those that are more vulnerable, they shouldn't have to feel this pressure. And honestly, I shouldn't have to think about the men's feelings when I say no. I should just be allowed to say no and go on about my business. Unfortunately, even someone who is comfortable saying no, in these instances, had to think about how to approach these situations as to not put my job or education in jeopardy. ",Graduate Student,Head Coach,R2,,Education,,,,Changed my career path,,Changed my career path,,Male,43102350824,no,Male,Education,Education,Graduate Student,Graduate,R2,,477,,Education
1/2/2018 5:05:53,"I needed to have a routine form signed by the Director of Graduate Studies in my PhD program. I went to his office and asked him to sign it, to which he responded by asking (a joke, apparently) whether the form was requesting that he do a ""Chippendale's dance"" for me. There were several other male faculty in his office at the time, and they all laughed at this joke. This professor is known to regularly make inappropriate comments to female graduate students (often much worse than this).",PhD student,Professor/Director of Graduate Studies,Elite Institution/Ivy League,Cornell University,,,"None. I reported this incident in writing to the Dean of our College, along with several other female graduate students who reported their own experiences (in writing) with this Professor, and we never received any response.",none,"This was just one small incident in a broader pattern of sexual harassment of female graduate students in the department by this Professor that led to discomfort, insecurity, and challenges to securing equal mentorship and professional development opportunities.",,,,Male,43102212417,no,Male,,,Phd Student,Phd,Elite Institution/Ivy League,Cornell ,478,Cornell,
1/1/2018 20:10:24,"This event occurred when I was an undergraduate student. I'm sharing this story because it was consequential in terms of my pursuit of graduate school, as well as how I respond to cases of academic dishonesty as a professor. 

I was an undergrad in NE Ohio with anticipation of applying to my school's graduate program. Over the course of the semester in my stats class, a classmate constantly pressured me to help him study. Miscommunications, combined with my not wanting to hurt his feelings, led to a never-ending night of trying to fend off his aggressive advances that literally left over 15 dark bruises from my torso to my neck. I left his dorm in the early morning, and when I left he asked if I would leave my homework assignment and told me that he would return it before class that day. I left the assignment, but he was late to class and turned in both of our assignments to the professor at the end of class. The professor publicly reprimanded us for plagiarism and we were not given credit for the assignment. I was mortified. I never explained the incident to the professor and he never asked about it. I do believe that the incident is the reason why the prof ignored my follow-up inquiries about a project he had previously invited me to become involved with. I also wondered if the story of academic dishonesty circulated among other faculty within the department. Leaving my homework for the classmate did constitute academic dishonesty, but there were nuances to my decision that I have never been able to adequately put into words. ",senior-level undergraduate student,classmate,R2,,Sociology,,,,"As a professor, I pay attention to the gendered component of academic dishonesty incidents.",mild depression for several weeks,,,Male,43101840557,no,Male,Sociology,Sociology,senior-level undergraduate student,Senior,R2,,479,,Sociology
1/1/2018 18:46:29,"inappropriate comments about his (lack of) sex life, size of his penis, wife, what he wanted to do with/to me",faculty (full professor),department head (different department),Other R1,large public flagship,communication,,"university lawyer said they would only take action against him if others had also reported him for similar things. I was encouraged to report him and they would have someone speak to him about his behavior but no action would be taken against him unless I could prove what I said was true. Lawyer said I would have to prove he was creating a hostile work environment then it would be an EEO case. Since I did not work directly with him and I was not afraid of him or incapable of talking to him myself, I did not see what they would do that I was not already doing, besides letting him know that I was complaining about him to leadership.","none. I said I didn't need someone to talk to him. I was capable of talking to him and/or avoiding him. I did not need the university lawyer to let him know I complained and have him make my life more difficult, especially when it was clear they would not do anything. I could just avoid him or speak to him myself if needed.","none, besides disgust for the harasser and lack of respect for the institution","disgust with the process, affirmation of a strong bias toward men at this institution (in a very red state)",even less respect for academia in general and the leadership at my former institution in particular,none,Male,43101782277,yes,Male,Communication,Communication,Faculty (Full Professor),Faculty,Other R1,large public flagship,480,,Communicaiton
1/1/2018 18:43:01,"Professor invited me to coffee stating that he'd be 'happy to have coffee with me'.  I never took him up on his offer and, in the preceding months, began to outshine him in academic recognition.  He subsequently made my candidature hell.  In my final stage of candidature, I finally found the courage to change supervisors and report his psychological/mental/verbal/emotional abuse and his lack of supervision where I was basically doing the thesis all on my own.  ",Phd Candidate,"Principal thesis supervisor, Chair of a research committee",Other R1,,Law,,,,"I successfully graduated but have cut ties with that particular college, and did not seek to work in that law school, during or after candidature, as I'd constantly be looking over my shoulder.  I needed to find other colleges for work which has, ultimately, proved most successful for my career. His demoralisation of me provided the impetus for me to succeed.","There was no-one to turn to during my candidature.  I was literally trapped as the Professor was also the Chair of a research committee that oversaw Phd candidates.  There were no processes, policies or protocols in place to support and protect me as a candidate from the psychological/mental/verbal/emotional abuse that I endured and his abuse of authority in his lack of supervision. My mental health during that time saw me traumatised, and breaking down in tears and anguish at home constantly.  I felt that I had 'no choice' but to complete my thesis with him as my principal supervisor.  My fury gave me the courage to report his psychological/mental/verbal/emotional abuse and lack of supervision to the very top and change supervisors at the final stage.","When I'm in a position to effect change, I'll ensure that there are processes, policies and protocols in place to support and protect those in ways that I never was.",,Male,43101779877,no,Male,Law,Law,Phd Candidate,Phd,Other R1,,481,,Law
1/1/2018 18:39:07,"Two men in my department always made me feel like they were ""checking me out."" however it as after we went to a conference together and they saw me dance, that they commented to other students about how sexy I was, and how male students would ""cream their pants"" if they saw me dance. I couldn't believe they spoke that way to STUDENTS about me. When I approached them to ask them to stop, they got indignant, and to this day, they call me bitch or crazy bitch to students. ",Untenured though on the tenure track/ Assistant Prof. ,"Full Professors, both of them, with one on the tenure committee. ",Regional Teaching College,,Psychology,,The department chair talked to them ... including when the follow up harassing continued. ,Nothing besides talking to them. ,"They have mocked me in large groups of faculty; it has shut down my working memory capacity, and made me feel incapable of being successful, but just an FYI ... I am more published, have more grant money, got promoted to full professor earlier than either of those assholes! ","It really messed with my head, and shut down my working memory capacity. I get a sick pit in my stomach during department functions. ","I avoid departmental parties/gatherings, which has annoyed my chair. I believe it was one of a series of events that ended my marriage. My husband made light of the situation and said I was overreacting. He told me if I was a better/stronger person they wouldn't even try these things. His lack of support of me is one of the top reasons we are divorcing. However, every time they made me feel lesser than, I gave another presentation or wrote another grant to help me feel ""valued."" I do believe I'm more accomplished than I would have been if they didn't mock me and make me feel so little. ",,Male,43101777164,yes,Male,Psychology,Psychology,Untenured though on the tenure track/ Assistant Prof. ,Untenured,Regional Teaching College,,482,,Psychology
1/1/2018 10:16:38,"Between 1997-200 this happened a lot with one particular fellow student,peer, and poet (who is now a prominent literary critic in Canada).  It began when he showed interest in helping me improve my writing.  Although married, he invited me out for coffee to discuss my writing and tell me how I could ""fix it"".  He did not look at my work beyond a line or two, but he flirted heavily with me and proceeded to explain to me what was wrong with women's poetry.  I have heard that he did this coffee invitation thing to a lot of women poets.","grad student, TA.","fellow student, fellow poet in the writing community, influential critic",Other Type of School,Concordia University,Creative Writing,,didn't tell anyone,n/a,"We ended up having a very short little affair.  When I cut that off, I felt the effect in a few ways: a short story I had been invited to write for a magazine he edited suddenly backed out of publishing a story I had been invited to write. My first book, though published reputably, received little press/acknowledgement.  This critic has a lot of power.   ",Second guessing my abilities as a poet.," trying to get back on track, still, ten years later.",,Male,43101428221,yes,Male,Creative Writing,Creative,"Grad Student, Ta.",Grad,Other Type of School,Concordia ,483,Concordia,Creative Writing
1/1/2018 9:57:25,"A professor held a class at his apartment.  We were all told to put our coats in his bedroom.  I was one of the last to leave.  I was very drunk.  The professor followed me into the bedroom and, as I was finding my coat on the bed, mentioned the bed was ""king-sized, lots of room"".  I found my coat, squeezed past him and ran.",MA student / TA,Thesis advisor,Other Type of School,Concordia University,Creative Writing,,Did not report,n/a,I think I felt somewhat guilty-- as though I must have done something or said something that made him think I was interested in having sex with him?,"second guessing myself, still, twenty years later.",this professor sends me yearly requests to speak to my classes at another institution where I now work.  I have never invited him.,,Male,43101414870,yes,Male,Creative Writing,Creative,Ma Student / Ta,Ma,Other Type of School,Concordia ,484,Concordia,Creative Writing
1/1/2018 9:50:36,"I went to see my professor about a paper I was working on.  He had already commented a few times in class and in the hallways about my ""big, blue eyes"". 
 In his office, with the door closed told asked me if I was scared (be cause my eyes were so big).  I said, ""No."" I didn't know what else to do.  Then he told me he liked my ring and w/out consent took my hand and admired my ring for a good long while, while I waited silently for him to give me back my hand.  A few minutes later after I attempted to return the conversation to my paper,   he again commented on my ring and said, ""It's a shame you bit your nails.  You could have very beautiful hands.|",Graduate student / TA,Professor,Other Type of School,York University,English Literature,,Did not know to (or how to) report it.,n/a,nervous / uncomfortable / silenced,insecurity,I feel now that my younger self saw my insecurity (as evidenced by bitten nails) spoke louder than my intellectual abilities. I did not pursue a PhD.,,Male,43101410139,yes,Male,English Literature,English,Graduate Student / Ta,Graduate,Other Type of School,York ,485,York,English
12/31/2017 12:55:39,I was sexually assaulted by a colleague during a celebration,PhD candidate,Recent PhD/direct colleague,R2,,Archaeology,,not reported,not reported,None yet,I suffered from intense depression and anxiety following the incident and now seek therapy,I couldn't work for a few months and find myself avoiding social (and professional) situations where I might run into the person ,,Male,43100538647,yes,Male,Archaeology,Archaeology,Phd Candidate,Phd,R2,,486,,Archaeology
12/31/2017 12:45:45,"The director of an organization provided the data I needed for my senior thesis would only meet with me after everyone in his building had left for the day and would insist on hugging me - I'm not huge on being touched anyhow, but the way that he did it was especially inappropriate, especially considering the power imbalance. At the time I was confused by what was happening and, after three encounters I stopped being available to meet and, essentially, ghosted the individual.","Undergraduate, Junior","Friend of advisor, Director of organization, senior in the field",R2,,Archaeology,,not reported,not reported,I was able to work with the data but it made me wary about working in the city ,I felt guilty for years about the way I had handled things and it wasn't until recently that I realized how inappropriate /his/ behavior had been at the time,,,Male,43100531777,yes,Male,Archaeology,Archaeology,"Undergraduate, Junior",Undergraduate,R2,,487,,Archaeology
12/31/2017 10:51:57,"Over a period of five years (2009-2014), a tenured male faculty member at the university's interdisciplinary honors college sexually harassed at least three junior and contingent faculty women in his field. During this period, X was the sole senior faculty member in his discipline and he repeatedly abused this role. His harassment of others has been witnessed and tolerated by other male tenured faculty. Incidents which I experienced and/or documented to support other complaints reported to the University’s Office of Equity, Inclusion and Compliance Office include the following: X asked a junior faculty woman waiting for a colleague outside her office door if she was wearing a bra because he could not see any visible bra straps. He then asked if it was a strapless bra. When the questions were ignored, he asked if it was a corset. He stated that he wanted to buy a corset for his wife for Valentine’s Day and wanted to know where she bought her underwear. X regularly interrupted work-related discussion to insert stories about sex acts / behavior with no warning (i.e.  in response to ordinary pleasantries, would say that he had loud sex with his wife to make his live-in father-in-law uncomfortable /  in response to a typical “how is class prep going?” made repeated references to storing and watching pornography on his work computer, blaming the pornography for the poor performance of his computer and expressing anxiety about what the IT staff would find when they examined his computer). At a dinner with a job candidate, X asked a junior faculty member to dance on the table to entertain them while they waited for food to arrive. X asked a newly hired faculty member if he could move in with her as a tenant. When she refused, he sent two emails containing sexually explicit material and a professional attack. In the first email, a woman dressed as a schoolgirl sings about having sex with older men. The second email claims that the degree held by the recipient is a worthless degree. He spoke in a graphic sexual manner to a junior faculty woman during a meeting at which two male tenured professors were present and in which he stated that he pictured the woman in pornographic films. One of the two male tenured faculty members told him to “quit while he was behind.” He then stated that he regularly imagined the junior faculty woman in pornographic films. Immediately following the meeting, he approached her alone in her office and encouraged her to make money writing for erotic publishers. He then went on to quote graphically from this style of writing, giving the example of erotica that contains “pulling back the folds and thrusting.” At this point, the faculty member put her hand up and repeatedly shouted “Enough! Enough! Enough!” During a student conference, X loudly (so as to be overheard) stated to a student that a junior faculty woman was having an affair with a colleague. When the faculty member immediately confronted him, he told her that “sex scandals were no big deal.” X made repeated comments to junior faculty women about clothes, body, and weight changes. These comments range from sexual innuendos to comments about weight loss to specific comments about how their bodies looked in various outfits to descriptions of faculty members who did not work out as lazy. He regularly used these statements about weight as a way to invite faculty to look at photographs of his body posted online in speedos for bodybuilding competitions. X made repeated comments to women faculty about how hearing their high heels in the hall caused him to sexually fantasize about them. I can think of few interactions with him in that five year period that he did not sexualize. ",Junior faculty,"Tenured faculty at the same partner campus, different college",R2,Public Florida University,,,"Response within his college: His behavior was well-known and tolerated even when witnessed directly by other faculty. The Dean took no action to curb him. One junior faculty woman was told by another male tenured faculty mentor within the college that since X was the sole senior faculty member in her discipline, a letter from him was necessary for a tenure file and that it would “look weird” to not have his endorsement. 
Response by the university’s OEIC: A number of the above incidents were documented with OEIC in 2014 and 2016. My own 2016 meeting was prompted by the university’s decision to move him directly across from my office in response to a separate complaint lodged against him by another woman faculty member. Since my experiences occurred more than 180 days earlier (the internal timeline for investigations), the university lawyer suggested that I could stay in my office as a “guinea pig” to see if more recent actions within their 180 day window could be documented. I refused. I instead requested (and was granted) a transfer to the main campus instead from my department chair. This year, I re-sent the complaint along with a time-stamped letter documenting conversation with a junior faculty woman that detailed sexual harassment by him. I did so because I was scheduled to teach a spring course back on that campus and wanted to be sure that his history of sexual harassment was documented since the lawyer to whom I made my complaint had left. The OEIC copied my department chair though the chair did not appear on any of my emails to OEIC and I had never told the chair about the harassment. OEIC wrote that they should only be contacted in the future with “current and new allegations.” OEIC did not respond to my email asking if copying direct supervisors or chairs on sexual harassment response was standard for their office. 
University Administration response: In response to my question to the university president at a recent faculty senate as to whether copying supervisors on sexual harassment complaints was standard procedure for the university’s OEIC office, he stated that the OEIC had experienced a lot of turnover and currently lacked leadership but that they were in the process of hiring. In response to my question about the 180 day rule, the president indicated in his responses that he would be willing to review the university policies with respect to the internal 180 day rule.   
",OEIC never contacted me following my complaint since incidents fell outside 180 day period. His office was moved in response to another complaint. I was never contacted by their office during investigations of any other complaints against him. ,"Though we share a field, he has no standing or clout in that field. We are not in the same college. Opportunities for collaboration on campus declined because you couldn't trust him (i.e. he'd show up to an event and read a piece in support of pedophiles in one case or a piece that involved him yelling the n-word repeatedly in another and I'd end up having to explain to upset students why I brought them to the reading). I was never on campus outside of required office hours. Lost writing and research time spent documenting his behavior, making the initial complaint, packing up my office to move, commuting, going on the job market, weighing whether to leave what had been my dream location for an offer in a place that I knew would make me miserable.  ","Finishing out the semester in which he was moved directly across from me was tough, especially after the OEIC meeting. I taught from 7-10 at night so whenever I saw his door cracked I avoided the hallway and my own office. Disgust over a university policy that ignores the fact that many might wait until tenure to report. Following my transfer, my work commute changed from 14 miles round trip on local roads to 80 miles round trip on a major highway. Recently, anger over OEIC copying my chair on their email response, not because of my specific chair but for how such action could deter others from coming forward.  Guilt over not reporting sooner or ""sticking it out"" to see if I could document something within the 180 day window. ",,,Male,43100452739,yes,Male,,,Junior Faculty,Junior,R2,Public Florida ,488,Florida,
12/30/2017 20:21:20,"at first, my (fairly old, married, with grown-up kids) PI was asking me way too many personal questions and making weird compliments. I was not flirting and was always changing the topic. At certain point he has said that there are ladies among grad students who even discuss their sexual life with him. Sometime later, he has invited me to see The Hangover in the cinema via his personal ""non-university"" email account. I politely asked if he is inviting other members of our research group and when his response was ""No"". I replied that I have other plans. I managed to defend under his supervision, he was not the worst PI, but I was never comfortable nearby him and constantly afraid of his actions and/or words. as an international student, with no family or friends nearby, that was very stressful for me. maybe it is not ""the harassment"", but definitely the misconduct. ",phd student,PI,Other Research Agency,,engineering,,,,,,,,Male,43099848147,no,Male,Engineering,Engineering,Phd Student,Phd,Other Research Agency,,489,,Engineering
12/30/2017 14:17:32,"Senior scholar in the field complimented my work and invited me for a drink to ""thank me"" for a positive review I wrote about his book. He groped and continuously tried to kiss me in the bar. He later wrote me an email giving me ""professional advice"" that I didn't ask enough questions about his work during our ""meeting"". A year later he apologized and still apologized nearly every time I see him (about once a year at major conferences) ",Doctoral candidate,Senior scholar not at my institution,Other R1,,,,Did not report,None,None,Distracting but not overly distressing ,,,Male,43099595507,yes,Male,,,Doctoral Candidate,Doctoral,Other R1,,490,,
12/29/2017 18:28:10,"Repeatedly groped and threatened my scholarship revoked if I said anything as an undergrad. Know I was among at least 6, so probably more. Later, different degree and institution and field later, groped by a student while a first year faculty member",First year undergrad/first year faculty member,Advisor/advisee,"More Than One Institution (feel free to elaborate in ""Comments"")",Small liberal arts/regional teaching,Music/Other field MS level,,Afraid to report. ,,Permanent nerve damage in my hand from undergrad abuse,"fear of being alone with student or faculty without open door and people close by, nightmares, flashbacks, thinking I was crazy","Ultimately, leaving both fields. I love what I do now, but I wish that I hadn't felt forced to leave and fearful of consequences if I stayed whether I spoke up or not. ",,Various incidents with people of different genders,43098769555,yes,Other,Music/Other Field Ms Level,Music,First year undergrad/first year faculty member,First,Multiple,Small liberal arts/regional teaching,491,,Music
12/29/2017 14:50:47,"In 2016 I was working alone at the circulation desk when an older professor approached and asked me if I was new there since he hadn't seen me there and made comments about my ""innocence"" and about my appearance - he referenced some scene of the book he had just turned in. Kept asking me questions, purposefully to confuse me, and laughed more when I became visibly upset. (I was able to record his name and found that he was a professor in the English department, but I have since forgotten it.)",Undergraduate,A senior professor in the English department,Other R1,University of Oklahoma,,,,,,I felt a deep sense of embarrassment and guilt about the whole situation though it seemed relatively minor.,,,Male,43098618597,no,Male,,,Undergraduate,Undergraduate,Other R1,University of Oklahoma,492,Oklahoma,
12/29/2017 13:53:50,"My graduate advisor constantly wanted to discuss sexual and personal topics, telling me throughout my PhD that he couldn't wait until I graduated. I sometimes played along, trying to steer the conversation toward more neutral territory, and sometimes closed the conversation down outright. Then he booked a hotel for my graduation night and when I reiterated my lack of interest, got angry, frustrated, and then groped me.",graduate student,professor,Elite Institution/Ivy League,,Biology,,I didn't report it,,"It was very upsetting at the time and it took me several weeks to shake it off and be able to focus on my work again. I definitely questioned whether he truly thought I was a great scientist and this really shook my self-confidence. In future training, I was uncertain about how close to be with a mentor and avoided potential mentorship relationships, trying to ""play it safe"". It was very uncomfortable when I had to ask him for letters of recommendation and I always wonder whether the letters are fair or reflect his feelings about what happened.",Very stressful and anxiety-provoking at the time.,"None overall. It did lead me to question my plans, but ultimately, I kept on course.",,Male,43098579053,yes,Male,Biology,Biology,Graduate Student,Graduate,Elite Institution/Ivy League,,493,,Biology
12/29/2017 12:46:19,"Grabbed my crotch and fondled me from behind while she went into detail about her sexual history. She later sent me an email apologizing. In summary, that she assaulted me because I reminded her of an ex-husband. That was followed by another email telling me to keep this between us using her race as a leverage against me. The second email in short was telling me that since she was a black woman, it was much harder for her to come into her position. And since I was a white male, I would not face as many  challenges as she had.

 She still works there as of December 2017.",Grad Student,Professor ,Elite Institution/Ivy League,Prefer not to answer,Prefer not to answer,,None,Her only consequence was,,,,,Female,43098532163,no,Female,Prefer Not To Answer,Prefer,Grad Student,Grad,Elite Institution/Ivy League,Prefer not to answer,494,,
12/29/2017 4:11:21,"I was harassed as postdoc by a faculty member from the department where I earned my PhD. Without going into details, this included suggestive emails, requests to 'meet up' and, upon meeting up, (with me naively hoping that it was a purely professional dinner), unwanted physical contact afterward. I rejected the physical advances while still trying to seem friendly and avoid professional backlash, and then continued to get suggestive emails and requests to continue meeting up.",Postdoc,"A very senior faculty member, considered a leader in my field","More Than One Institution (feel free to elaborate in ""Comments"")",,Evolutionary Biology,,"I reported these incidents when another colleague told me of something similar that happened to another woman with the same offender. The colleague did not know my story when he told me and it was the first he had heard of this behavior from this person. (I of course had heard since I was a graduate student that he was a predator). My colleague was shocked but I suddenly realized that the offender's pattern of behavior was essentially a lifestyle and that someone (me) had to report it.  However, because there was no evidence (beyond the emails) and especially because none of the incidents took place while I was still at the institution where the offender worked (same for the other victim), no action was taken beyond a minor verbal reprimand.",None that I know of.,"The incident has lead me to allocate much more of my time to all issues surrounding sexual harassment including service to multiple scientific societies, advocating for sexual harassment training and policies, receiving training myself, mentoring of others on these issues, etc. This is on top of 'normal' academic service (editorial work, dept and university committees, outreach), so it certainly reduces my research output, but I have to at least try to turn the tide.","It was traumatic (particularly the reporting and associated process) and stressful. I don't think about it day-to-day, but when I talk about these issues with my mentees or others, I do get upset as all the emotions (frustration, shame, confusion, disillusionment, fear) come back immediately.","I have stayed in science, but it, more than anything else, made me realize that you can't just 'do the science'.  I have to work on the culture and the climate too, especially if I am mentoring others and supporting them in advancing their careers.","This experience made me realize how hard it is for any harasser to experience any consequences if they are strategic about their harassment -- if they do it off-campus, to people who are no longer their subordinates, with no witnesses, etc.  Add this to the fear that any victim will have of professional repercussions of reporting and the harasser is likely never to be reported or fired for offenses.

Anyway, this is why I put more than one institution -- sure, the offender made inappropriate comments to me while I was still a PhD student in the department, but the major onslaught of harassment was not until I was at a different institution.  I think those early comments where just testing the waters and laying the groundwork for the full hit after graduation.

I guess I'll also add that this is one of my experiences with one senior faculty member. Other incidents have occurred (physical and verbal) but none felt as outright predatory as this one.",Male,43098174554,no,Male,Evolutionary Biology,Evolutionary,Postdoc,Postdoc,Multiple,,495,,Biology
12/28/2017 22:25:20,several semesters of offensive student evaluations,Assistant and Associate professor,students,Other R1,,Sociology and human services,,minimal acknowledgement of reality of evaluations for faculty of color or females,none,made me stop teaching courses related to race/ leave human services as joint appointment. ,tremendous stress,has often made me want to stop teaching. ,,Female,43097934255,yes,Female,Sociology And Human Services,Sociology,Assistant and Associate professor,Assistant,Other R1,,496,,Sociology;Human Services
12/28/2017 22:17:33,chair of department told me not to mention having a young child.,newly hired as assistant professor,my superior,Other R1,,sociology,,NA,NA,Made me feel unwelcome,devalued my most significant life event- ,did not deter me,,Male,43097928851,yes,Male,Sociology,Sociology,newly hired as assistant professor,Newly,Other R1,,497,,Sociology
12/28/2017 20:24:41,"A white male senior prof began pushing me for sex, touching me. After I refused him he went on a smear campaign to push other senior profs to vote against my promotion. He also went on to take a senior appointment within our discipline's association even after being removed from two jobs for sexual harassment and his case had gone public. When I complained to the association  executive I was told they appointed him regardless 'because we didn't have any other good candidates' and 'he denied it.' He still shows up at annual meetings. Turned out later there was twenty years of recorded harassment and the dean told him to re-review the sex harassment videotape the last time he was found harassing (students) before me. Undergrads were also being pressured it turned out later when the local newspaper published the case records.",Assistant prof,Full Prof,Other R1,,A social science,,"Told me couldn't discuss the case with anyone, helped him to retire, and didn't tell the next institution he went to about the problem. The next place took him out of the classroom when he did it there. Then they fired him when it came out in the news he had a long prior history.","Asked to retire, went to another position and much later asked to resign when did it again. Still professionally active, as a leader in academic societies. ","Smeared my reputation...he told people I was extremely unpopular with students, hard to get on with, my work was pedestrian etc. His male grad students wrote in a commentary I was declaring him a harasser to advance my own career. Couldn't then deny any of it as the university lawyers told me I was gagged by his retirement agreement. I now realize that the university can't really do that, but didn't know that at the time. ","Depressing and distressing, obviously. 
",I left for a new university. Was a good outcome for me as it is a better job.,,Male,43097850475,yes,Male,A Social Science,A,Assistant Prof,Assistant,Other R1,,498,,Social Science
12/28/2017 19:58:22,husband of support staff,assistant professor ,lomg time employee's husband,Other R1,,sociology,,NA,NA,just one more unwelcome grouping,made me feel dirty and made me leave early ,take it as a given that will happen no matter what,all these have helped me to decolonize my mind of patriarchy. ,Male,43097832197,yes,Male,Sociology,Sociology,Assistant Professor ,Assistant,Other R1,,499,,Sociology
12/28/2017 18:29:39,"This happened during a job talk. I was brought out to the campus to give a talk for a tenure-track position. During the ride from the airport to my hotel room, the chair of the search committee, a white man, decided to tell me, a Vietnamese woman, that his neighborhood was diversifying. By diversification, he meant that that there was a new Vietnamese massage salon/spa that opened up next to his building. During the candidate's dinner, he brought the topic of massages back up to me and in front of other colleagues. Unrelated to any other conversation we were having at dinner, he said that he had received a Thai massage once and by two Thai women. These two women, he said, were ""small but so strong."" One apparently massaged the top half of his body. The other massaged the second half of his body. I looked around for an intervention, but none took place. Instead, he preceded to ask if this was my experience with massages. I lamely said, no. I only get massages at Burke Williams (which I've never done before in my life). ",Job Candidate for a Tenure-Track Position,Chair of Search Committee,Other Type of School,CSU Dominguez Hills ,,,Never Reported It,Seems to be doing well,I have not actively gone back on the job market since then. ,"Depression, doubt, and fear. I feel disgusted when I think about applying for a position. I wasn't able to say anything to anyone when this happened because I was so afraid that there would be some undoable backlash in my field writ large - I'd be blacklisted with or without a tenure track or while on the market. I was and am still afraid that if I ever go back to academia, someone will write a negative review for my tenure file (as someone who is a trouble maker or too sensitive, etc). This made me heavily, heavily rethink my career because the sheer amount of deference I have had to perform has been humiliating. The act of harassment itself is painful, but it is the deference and the lack of support in academia that puts salt on the wound. I'm actually embarrassed and saddened that I didn't call this man out or say anything because I prioritized my career. But it is even more hurtful and upsetting that racialized patriarchy is the foundation of academia thus the story is probably more commonplace than not, he seems to be doing pretty well in academia and I am still upset trying to recover years later. ","I have recommitted myself to doing work on issues of gender-based violence. I have avoided academia indefinitely. I try to do work in places and with people that are more ""feminist friendly"" or at least have some perspective around issues of racial and gender violence - or at least know not to talk about massages by small, but strong Asian women. ",,Male,43097770592,yes,Male,,,Job Candidate for a Tenure-Track Position,Job,Other Type of School,CSU Dominguez Hills ,500,Cal State,
12/28/2017 18:06:39,"During my time as a postdoctoral fellow, my senior colleague/mentor asked to have a relationship with me. I declined the offer. This made working with him uncomfortable, but because I was trying to apply for the tenure track position associated with the fellowship, I never told anyone. Meanwhile, his colleagues, particularly a white female senior scholar, would interrogate me about my relationship to him. She asked extremely uncomfortable and investigative questions including, ""How well do you know him? How did you meet him?"" None of the questions were about my well-being. Once I left the institution, I was told my a former student that there were rumors circulating around the department that I had been sleeping with this colleague. It should probably be known that I was up for a position at this university and after an intense battle, did not get it. ",Postdoctoral Fellow,Senior Scholar,Elite Institution/Ivy League,,Education,,,,"After several incidents of harassment in the academy, I have taken an indefinite hiatus. ","Severe anxieties, sadness and depression ",See answer for career ,,Male,43097754623,no,Male,Education,Education,Postdoctoral Fellow,Postdoctoral,Elite Institution/Ivy League,,501,,Education
12/28/2017 18:00:47,I was accused of not being nurturing enough to students,assistant professor,peers wring my third year review. ,Other R1,,sociology,,,,,It made me feel very angry and unjustly treated. ,I was sure I would not get tenure following this but I did. ,I have more and will fill out separately. ,"Unsure (if harassment was anonymous, for example)",43097750548,no,Other,Sociology,Sociology,Assistant Professor,Assistant,Other R1,,502,,Sociology
12/28/2017 17:56:56,"I took a white male former teacher education professor out for tea to thank him for this letter of recommendation to a PhD program. Within 20 minutes of our conversation, he said, ""I want to make love to you right now."" ",A recently admitted PhD student ,former professor ,R2,,Education,,,,,Nausea and depression,,,Male,43097747866,no,Male,Education,Education,A recently admitted PhD student ,A,R2,,503,,Education
